City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
610,Linden,GY,6.0,-58.3,75.34,97,100,2.35,light rain
611,Bubaque,GW,11.2833,-15.8333,79.84,83,100,12.39,light rain
612,Zharkent,KZ,44.1628,80.0,83.19,20,5,4.61,clear sky
613,Chernyy Yar,RU,48.0624,46.1091,78.75,46,98,6.35,overcast clouds
614,Lisala,CD,2.15,21.5167,69.28,98,100,2.01,overcast clouds
615,Aipe,CO,3.2222,-75.2367,76.21,65,39,2.82,scattered clouds
616,Kungurtug,RU,50.5994,97.5228,58.21,86,100,2.24,overcast clouds
617,Lubango,AO,-14.9172,13.4925,58.05,35,0,3.8,clear sky
618,Okahandja,NA,-21.9833,16.9167,57.51,58,4,2.91,clear sky
619,Porto Murtinho,BR,-21.6989,-57.8825,57.56,65,100,6.73,overcast clouds
620,Oudtshoorn,ZA,-33.5907,22.2014,46.76,90,77,9.66,moderate rain
621,Ongandjera,NA,-17.8833,15.0667,57.27,55,0,9.15,clear sky
622,Nenjiang,CN,49.1833,125.2167,69.4,70,5,9.44,clear sky
623,Lobito,AO,-12.3481,13.5456,71.11,83,96,2.57,overcast clouds
624,Verkhnyaya Inta,RU,65.9811,60.3094,61.99,63,100,10.29,overcast clouds
625,Gazanjyk,TM,39.2446,55.5154,85.35,17,1,8.28,clear sky
626,Darhan,MN,49.4867,105.9228,72.12,61,0,2.51,clear sky
627,Chumikan,RU,54.7183,135.315,73.99,50,6,14.7,clear sky
628,Maneadero,MX,31.7167,-116.5667,80.19,83,65,1.99,broken clouds
629,Arlit,NE,18.7369,7.3853,94.77,25,71,9.55,broken clouds
630,Roros,NO,62.5747,11.3842,44.44,93,90,3.44,overcast clouds
631,Ichchapuram,IN,19.1167,84.7,90.52,60,100,3.38,overcast clouds
632,Liverpool,GB,53.4106,-2.9779,58.68,84,48,1.01,scattered clouds
633,Dicabisagan,PH,17.0818,122.4157,81.46,83,100,5.3,heavy intensity rain
634,Causapscal,CA,48.3542,-67.227,68.68,95,74,5.01,broken clouds
635,Karymskoye,RU,51.6167,114.35,58.98,95,100,2.17,overcast clouds
636,Husavik,IS,66.0449,-17.3389,44.51,74,15,10.36,few clouds
637,Uyuni,BO,-20.4597,-66.825,41.32,30,2,7.83,clear sky
638,Erdaojiang,CN,41.7764,126.0319,64.99,92,100,2.77,overcast clouds
639,Sola,VU,-13.8833,167.55,78.13,77,69,29.04,broken clouds
640,Acari,PE,-15.4311,-74.6158,63.36,70,66,3.44,broken clouds
641,Hastings,GB,50.8552,0.5729,63.91,93,100,6.62,overcast clouds
642,Pathein,MM,16.7833,94.7333,86.83,70,100,5.75,overcast clouds
643,Karaman,TR,37.0833,33.25,57.2,84,8,7.23,clear sky
644,Sisimiut,GL,66.9395,-53.6735,43.99,80,31,6.98,scattered clouds
645,Aberdeen,GB,57.1437,-2.0981,54.09,96,100,3.44,overcast clouds
646,Lao Cai,VN,22.4833,103.95,82.29,81,100,1.01,overcast clouds
647,Lakes Entrance,AU,-37.8811,147.981,62.19,49,29,14.45,scattered clouds
648,San Cristobal,VE,7.7669,-72.225,75.38,98,97,2.15,overcast clouds
